Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Scenarios,Edge Chromium 92,,,2021-09-03 00:25:57,2021-09-03 00:27:11,"1m - 13,816s",FAILED
,,,,,,,
Test Cases/SuccessfulEconomicReserve,Edge Chromium 92,,,2021-09-03 00:25:57,2021-09-03 00:26:19,"22,434s",FAILED
Start listener action : sampleBeforeTestCase,Edge Chromium 92,,,2021-09-03 00:25:57,2021-09-03 00:26:03,"5,826s",PASSED
"click(findTestObject(""reservation/cityInput"", [""field"":from, ""index"":2]))",Edge Chromium 92,,,2021-09-03 00:26:03,2021-09-03 00:26:04,"0,233s",PASSED
"setText(findTestObject(""reservation/cityInput"", [""field"":from, ""index"":2]), findTestData(""Reservation"").getValue(""fromCity"", 1))",Edge Chromium 92,,,2021-09-03 00:26:04,2021-09-03 00:26:04,"0,370s",PASSED
"click(findTestObject(""reservation/SelectCityList"", [""index"":1]))",Edge Chromium 92,,,2021-09-03 00:26:04,2021-09-03 00:26:04,"0,244s",PASSED
"click(findTestObject(""reservation/cityInput"", [""field"":to, ""index"":5]))",Edge Chromium 92,,,2021-09-03 00:26:04,2021-09-03 00:26:04,"0,170s",PASSED
"setText(findTestObject(""reservation/cityInput"", [""field"":to, ""index"":5]), findTestData(""Reservation"").getValue(""toCity"", 1))",Edge Chromium 92,,,2021-09-03 00:26:04,2021-09-03 00:26:05,"0,290s",PASSED
"click(findTestObject(""reservation/SelectCityList"", [""index"":2]))",Edge Chromium 92,,,2021-09-03 00:26:05,2021-09-03 00:26:05,"0,177s",PASSED
"click(findTestObject(""reservation/dateDepartureInput""))",Edge Chromium 92,,,2021-09-03 00:26:05,2021-09-03 00:26:05,"0,339s",PASSED
"waitForElementClickable(findTestObject(""reservation/calenderDepartureDiv"", [""value"":findTestData(""Reservation"").getValue(""dataDeparture"", 1)]), 0)",Edge Chromium 92,,,2021-09-03 00:26:05,2021-09-03 00:26:06,"0,488s",PASSED
"click(findTestObject(""reservation/calenderDepartureDiv"", [""value"":findTestData(""Reservation"").getValue(""dataDeparture"", 1)]))",Edge Chromium 92,,,2021-09-03 00:26:06,2021-09-03 00:26:06,"0,507s",PASSED
"click(findTestObject(""reservation/dateBackInput""))",Edge Chromium 92,,,2021-09-03 00:26:06,2021-09-03 00:26:06,"0,204s",PASSED
"waitForElementClickable(findTestObject(""reservation/calenderDepartureDiv"", [""value"":findTestData(""Reservation"").getValue(""dataBack"", 1)]), 0)",Edge Chromium 92,,,2021-09-03 00:26:06,2021-09-03 00:26:06,"0,118s",PASSED
"click(findTestObject(""reservation/calenderDepartureDiv"", [""value"":findTestData(""Reservation"").getValue(""dataBack"", 1)]))",Edge Chromium 92,,,2021-09-03 00:26:06,2021-09-03 00:26:07,"0,202s",PASSED
"click(findTestObject(""reservation/searchButton""))",Edge Chromium 92,,,2021-09-03 00:26:07,2021-09-03 00:26:07,"0,254s",PASSED
"navigateToUrl(""https://booking.avianca.com/av/booking/avail?from="" + value1 + ""&to="" + value2 + ""&departureDate="" + date1 + ""&nbAdults=1&nbChildren=0&nbInfants=0&language=ES&pointOfSale=CO&tripType=round-trip&returnDate="" + date2 + ""&FriendlyID=&FriendlyIDNegoF=&overrides=%7B%22useHPP%22:%22false%22%7D&accessMethod=default&backend=PRD"")",Edge Chromium 92,,,2021-09-03 00:26:07,2021-09-03 00:26:08,"1,267s",PASSED
"click(findTestObject(""Price/Selection""))",Edge Chromium 92,,,2021-09-03 00:26:08,2021-09-03 00:26:19,"11,236s",FAILED
